schedule_uuid,term_code,Avg_A rate,Var_A rate,start_time,end_time,mon,tues,wed,thurs,fri,sat,sun
797b6514-5a60-3d82-b8e0-826a8c719d3e,1182,1,0,660,765,false,true,false,true,false,false,false
79c30bf4-5aa1-33e8-9d7c-48b20666f632,1182,1,0,495,645,false,false,true,false,false,false,false
79cdc002-6f0e-34a1-b509-4b3dbf14ffec,1182,1,0,540,720,true,false,false,false,false,false,false
7a87bf98-cfa2-3f0d-9db7-e15e1ebfeba4,1182,1,0,850,1020,false,false,false,true,false,false,false
7ac723ab-7370-3e7c-ba87-b41482c60333,1182,1,0,780,900,false,false,false,false,true,false,false
7ad62f70-0925-391e-9ddf-a5ffda4f503b,1182,1,0,630,1080,false,false,false,false,false,false,true
7b68b572-d687-3b74-8ee4-6a6e7bba58af,1182,1,0,885,1020,false,false,true,false,false,false,false
7ebb8a08-573d-3fcb-bd06-eb2b0bf573f5,1182,1,0,1005,1155,false,false,true,false,false,false,false
7f15c3d0-c1d6-324b-8848-be38eff99144,1182,1,0,915,1065,true,false,false,false,false,false,false
7f271578-d192-3656-9a60-23eaa3c7e045,1182,1,0,1110,1230,false,false,false,true,false,false,false
7f701755-1103-3353-89ef-ffed91175963,1182,1,0,1080,1140,false,false,true,false,false,false,false
7fac2fcc-598a-33e7-a013-8d7db461d366,1182,1,0,960,1125,true,false,false,false,false,false,false
8053772c-1ca5-343e-aba8-1106f7f16918,1182,1,0,510,690,false,false,false,true,false,false,false
81a3ad84-b957-37bb-b06e-6beb331c0b94,1182,1,0,1080,1320,true,false,true,false,false,false,false
81bdcc4a-7693-3a2f-9d8d-9cb1f23c6773,1182,1,0,570,750,false,true,false,false,false,false,false
8284fdfd-4a01-307b-b940-985f0843aa1a,1182,1,0,540,630,false,false,false,false,true,false,false
8287ccd1-7fc0-32da-a0d0-fc61cc593887,1182,1,0,870,940,false,true,false,true,false,false,false
